my,opp,n,wins,wr,ci_lo,ci_hi
Dragapult ex,Koraidon ex,2,1,50.0,9.5,90.5
Koraidon ex,Dragapult ex,2,1,50.0,9.5,90.5
Miraidon ex,Mega Abomasnow ex,2,1,50.0,9.5,90.5
Mega Abomasnow ex,Miraidon ex,2,1,50.0,9.5,90.5
Miraidon ex,Mega Lucario ex,2,1,50.0,9.5,90.5
Mega Lucario ex,Miraidon ex,2,1,50.0,9.5,90.5
Sawk,Mega Abomasnow ex,2,1,50.0,9.5,90.5
Mega Abomasnow ex,Sawk,2,1,50.0,9.5,90.5
Mega Abomasnow ex,Kingambit,2,1,50.0,9.5,90.5
Kingambit,Mega Abomasnow ex,2,1,50.0,9.5,90.5
Mega Latias ex,Dragapult ex,2,1,50.0,9.5,90.5
Dragapult ex,Mega Latias ex,2,1,50.0,9.5,90.5
Iron Leaves ex,Crustle,2,0,0.0,0.0,65.8
Crustle,Iron Leaves ex,2,2,100.0,34.2,100.0
Ceruledge ex,Crustle,2,0,0.0,0.0,65.8
Crustle,Ceruledge ex,2,2,100.0,34.2,100.0
Sylveon,Crustle,2,0,0.0,0.0,65.8
Crustle,Sylveon,2,2,100.0,34.2,100.0
Ethan's Typhlosion,Dudunsparce ex,2,2,100.0,34.2,100.0
Dudunsparce ex,Ethan's Typhlosion,2,0,0.0,0.0,65.8
Blissey ex,Dragapult ex,2,0,0.0,0.0,65.8
Dragapult ex,Blissey ex,2,2,100.0,34.2,100.0
Dragapult ex,Volcanion,2,2,100.0,34.2,100.0
Volcanion,Dragapult ex,2,0,0.0,0.0,65.8
Crustle,Cinderace,2,2,100.0,34.2,100.0
Cinderace,Crustle,2,0,0.0,0.0,65.8
Cornerstone Mask Ogerpon ex,Mega Abomasnow ex,2,0,0.0,0.0,65.8
Mega Abomasnow ex,Cornerstone Mask Ogerpon ex,2,2,100.0,34.2,100.0
Alakazam,Okidogi ex,2,2,100.0,34.2,100.0
Okidogi ex,Alakazam,2,0,0.0,0.0,65.8
Galvantula ex,Mega Abomasnow ex,2,2,100.0,34.2,100.0
Mega Abomasnow ex,Galvantula ex,2,0,0.0,0.0,65.8
Mega Starmie ex,Centiskorch,2,2,100.0,34.2,100.0
Centiskorch,Mega Starmie ex,2,0,0.0,0.0,65.8
Latias ex,Iono’s Bellibolt ex,2,1,50.0,9.5,90.5
Iono’s Bellibolt ex,Latias ex,2,1,50.0,9.5,90.5
Ethan's Typhlosion,Pikachu ex,2,2,100.0,34.2,100.0
Pikachu ex,Ethan's Typhlosion,2,0,0.0,0.0,65.8
Fezandipiti ex,Okidogi,2,2,100.0,34.2,100.0
Okidogi,Fezandipiti ex,2,0,0.0,0.0,65.8
Latias ex,Crustle,2,2,100.0,34.2,100.0
Crustle,Latias ex,2,0,0.0,0.0,65.8
Hydreigon ex,Hop’s Snorlax,2,2,100.0,34.2,100.0
Hop’s Snorlax,Hydreigon ex,2,0,0.0,0.0,65.8
Okidogi,Hydreigon ex,2,2,100.0,34.2,100.0
Hydreigon ex,Okidogi,2,0,0.0,0.0,65.8
Fezandipiti ex,Fezandipiti ex,2,1,50.0,9.5,90.5
Team Rocket's Spidops,Hop’s Snorlax,2,2,100.0,34.2,100.0
Hop’s Snorlax,Team Rocket's Spidops,2,0,0.0,0.0,65.8
Team Rocket's Spidops,Alakazam,2,1,50.0,9.5,90.5
Alakazam,Team Rocket's Spidops,2,1,50.0,9.5,90.5
Hop’s Zacian ex,Hop’s Snorlax,2,0,0.0,0.0,65.8
Hop’s Snorlax,Hop’s Zacian ex,2,2,100.0,34.2,100.0
Greninja ex,Mega Lucario ex,2,2,100.0,34.2,100.0
Mega Lucario ex,Greninja ex,2,0,0.0,0.0,65.8
Hop’s Snorlax,Arboliva ex,2,2,100.0,34.2,100.0
Arboliva ex,Hop’s Snorlax,2,0,0.0,0.0,65.8
Mega Venusaur ex,Ethan's Typhlosion,2,0,0.0,0.0,65.8
Ethan's Typhlosion,Mega Venusaur ex,2,2,100.0,34.2,100.0
Ceruledge ex,Hop’s Snorlax,2,2,100.0,34.2,100.0
Hop’s Snorlax,Ceruledge ex,2,0,0.0,0.0,65.8
Mega Starmie ex,Fezandipiti ex,2,2,100.0,34.2,100.0
Fezandipiti ex,Mega Starmie ex,2,0,0.0,0.0,65.8
Lilligant,Mega Lucario ex,2,0,0.0,0.0,65.8
Mega Lucario ex,Lilligant,2,2,100.0,34.2,100.0
Mega Lucario ex,Mega Sharpedo ex,2,1,50.0,9.5,90.5
Mega Sharpedo ex,Mega Lucario ex,2,1,50.0,9.5,90.5
Mega Abomasnow ex,Chandelure,2,0,0.0,0.0,65.8
Chandelure,Mega Abomasnow ex,2,2,100.0,34.2,100.0
Team Rocket's Honchkrow,Teal Mask Ogerpon ex,2,1,50.0,9.5,90.5
Teal Mask Ogerpon ex,Team Rocket's Honchkrow,2,1,50.0,9.5,90.5
Mega Gengar ex,Mega Lucario ex,2,0,0.0,0.0,65.8
Mega Lucario ex,Mega Gengar ex,2,2,100.0,34.2,100.0
Ceruledge ex,Mega Lopunny ex,2,2,100.0,34.2,100.0
Mega Lopunny ex,Ceruledge ex,2,0,0.0,0.0,65.8
Mega Starmie ex,Team Rocket's Spidops,2,2,100.0,34.2,100.0
Team Rocket's Spidops,Mega Starmie ex,2,0,0.0,0.0,65.8
Mega Sharpedo ex,Mega Abomasnow ex,2,2,100.0,34.2,100.0
Mega Abomasnow ex,Mega Sharpedo ex,2,0,0.0,0.0,65.8
0,Mega Lucario ex,2,2,100.0,34.2,100.0
Mega Lucario ex,0,2,0,0.0,0.0,65.8
Mega Abomasnow ex,Lilligant,2,2,100.0,34.2,100.0
Lilligant,Mega Abomasnow ex,2,0,0.0,0.0,65.8
Mega Starmie ex,Hydreigon ex,2,1,50.0,9.5,90.5
Hydreigon ex,Mega Starmie ex,2,1,50.0,9.5,90.5
Mega Heracross ex,Mega Starmie ex,2,2,100.0,34.2,100.0
Mega Starmie ex,Mega Heracross ex,2,0,0.0,0.0,65.8
Dragapult ex,Hydreigon ex,2,1,50.0,9.5,90.5
Hydreigon ex,Dragapult ex,2,1,50.0,9.5,90.5
Mega Venusaur ex,Mega Abomasnow ex,2,2,100.0,34.2,100.0
Mega Abomasnow ex,Mega Venusaur ex,2,0,0.0,0.0,65.8
Walrein,Thwackey,2,2,100.0,34.2,100.0
Thwackey,Walrein,2,0,0.0,0.0,65.8
Team Rocket's Honchkrow,Chandelure,2,1,50.0,9.5,90.5
Chandelure,Team Rocket's Honchkrow,2,1,50.0,9.5,90.5
Pikachu ex,Hop's Trevenant,2,1,50.0,9.5,90.5
Hop's Trevenant,Pikachu ex,2,1,50.0,9.5,90.5
Archaludon ex,Latias ex,2,2,100.0,34.2,100.0
Latias ex,Archaludon ex,2,0,0.0,0.0,65.8
Seaking,Cubchoo,2,2,100.0,34.2,100.0
Cubchoo,Seaking,2,0,0.0,0.0,65.8
Walrein,Mega Froslass ex,2,2,100.0,34.2,100.0
Mega Froslass ex,Walrein,2,0,0.0,0.0,65.8
Hop's Trevenant,Hop's Trevenant,2,1,50.0,9.5,90.5
Dragapult ex,Team Rocket's Articuno,2,0,0.0,0.0,65.8
Team Rocket's Articuno,Dragapult ex,2,2,100.0,34.2,100.0
Team Rocket's Honchkrow,Hop's Trevenant,2,1,50.0,9.5,90.5
Hop's Trevenant,Team Rocket's Honchkrow,2,1,50.0,9.5,90.5
Archaludon ex,Mega Zygarde ex,2,1,50.0,9.5,90.5
Mega Zygarde ex,Archaludon ex,2,1,50.0,9.5,90.5
Sylveon,Hop’s Snorlax,2,0,0.0,0.0,65.8
Hop’s Snorlax,Sylveon,2,2,100.0,34.2,100.0
Fezandipiti ex,Archaludon ex,2,0,0.0,0.0,65.8
Archaludon ex,Fezandipiti ex,2,2,100.0,34.2,100.0
Ethan's Typhlosion,Cubchoo,2,0,0.0,0.0,65.8
Cubchoo,Ethan's Typhlosion,2,2,100.0,34.2,100.0
Team Rocket's Articuno,Okidogi,2,0,0.0,0.0,65.8
Okidogi,Team Rocket's Articuno,2,2,100.0,34.2,100.0
Team Rocket's Articuno,Cynthia's Garchomp ex,2,2,100.0,34.2,100.0
Cynthia's Garchomp ex,Team Rocket's Articuno,2,0,0.0,0.0,65.8
Marnie's Grimmsnarl ex,Team Rocket's Articuno,2,2,100.0,34.2,100.0
Team Rocket's Articuno,Marnie's Grimmsnarl ex,2,0,0.0,0.0,65.8
Yveltal,Mega Froslass ex,2,2,100.0,34.2,100.0
Mega Froslass ex,Yveltal,2,0,0.0,0.0,65.8
Teal Mask Ogerpon ex,Mega Froslass ex,2,1,50.0,9.5,90.5
Mega Froslass ex,Teal Mask Ogerpon ex,2,1,50.0,9.5,90.5
Comfey,Cornerstone Mask Ogerpon ex,2,0,0.0,0.0,65.8
Cornerstone Mask Ogerpon ex,Comfey,2,2,100.0,34.2,100.0
Comfey,Archaludon ex,2,1,50.0,9.5,90.5
Archaludon ex,Comfey,2,1,50.0,9.5,90.5
Comfey,Mega Kangaskhan ex,2,1,50.0,9.5,90.5
Mega Kangaskhan ex,Comfey,2,1,50.0,9.5,90.5
Mega Starmie ex,Comfey,2,2,100.0,34.2,100.0
Comfey,Mega Starmie ex,2,0,0.0,0.0,65.8
Okidogi,Munkidori,2,1,50.0,9.5,90.5
Munkidori,Okidogi,2,1,50.0,9.5,90.5
Munkidori,Chandelure,2,0,0.0,0.0,65.8
Chandelure,Munkidori,2,2,100.0,34.2,100.0
N’s Zoroark ex,Brambleghast,2,1,50.0,9.5,90.5
Brambleghast,N’s Zoroark ex,2,1,50.0,9.5,90.5
Hydrapple ex,Archaludon ex,2,0,0.0,0.0,65.8
Archaludon ex,Hydrapple ex,2,2,100.0,34.2,100.0
Mega Starmie ex,Cinderace,2,2,100.0,34.2,100.0
Cinderace,Mega Starmie ex,2,0,0.0,0.0,65.8
Team Rocket's Mewtwo ex,Mega Venusaur ex,2,0,0.0,0.0,65.8
Mega Venusaur ex,Team Rocket's Mewtwo ex,2,2,100.0,34.2,100.0
Hydrapple ex,Mega Gardevoir ex,2,2,100.0,34.2,100.0
Mega Gardevoir ex,Hydrapple ex,2,0,0.0,0.0,65.8
Empoleon ex,Dragapult ex,2,0,0.0,0.0,65.8
Dragapult ex,Empoleon ex,2,2,100.0,34.2,100.0
N’s Zoroark ex,Mega Venusaur ex,2,1,50.0,9.5,90.5
Mega Venusaur ex,N’s Zoroark ex,2,1,50.0,9.5,90.5
Marnie's Grimmsnarl ex,Wellspring Mask Ogerpon ex,2,1,50.0,9.5,90.5
Wellspring Mask Ogerpon ex,Marnie's Grimmsnarl ex,2,1,50.0,9.5,90.5
Teal Mask Ogerpon ex,Mega Sharpedo ex,2,2,100.0,34.2,100.0
Mega Sharpedo ex,Teal Mask Ogerpon ex,2,0,0.0,0.0,65.8
Mega Venusaur ex,Mega Venusaur ex,2,1,50.0,9.5,90.5
Latias ex,Mega Lopunny ex,2,1,50.0,9.5,90.5
Mega Lopunny ex,Latias ex,2,1,50.0,9.5,90.5
Teal Mask Ogerpon ex,Latias ex,2,1,50.0,9.5,90.5
Latias ex,Teal Mask Ogerpon ex,2,1,50.0,9.5,90.5
Iron Thorns ex,Iron Leaves ex,1,1,100.0,20.7,100.0
Iron Leaves ex,Iron Thorns ex,1,0,0.0,0.0,79.3
Mega Kangaskhan ex,Iron Thorns ex,1,0,0.0,0.0,79.3
Iron Thorns ex,Mega Kangaskhan ex,1,1,100.0,20.7,100.0
Dragapult ex,Gouging Fire ex,1,1,100.0,20.7,100.0
Gouging Fire ex,Dragapult ex,1,0,0.0,0.0,79.3
Tapu Koko ex,Mega Kangaskhan ex,1,0,0.0,0.0,79.3
Mega Kangaskhan ex,Tapu Koko ex,1,1,100.0,20.7,100.0
Iono’s Bellibolt ex,Yveltal ex,1,1,100.0,20.7,100.0
Yveltal ex,Iono’s Bellibolt ex,1,0,0.0,0.0,79.3
Mega Camerupt ex,Bouffalant ex,1,1,100.0,20.7,100.0
Bouffalant ex,Mega Camerupt ex,1,0,0.0,0.0,79.3
Iono’s Bellibolt ex,Iron Leaves ex,1,1,100.0,20.7,100.0
Iron Leaves ex,Iono’s Bellibolt ex,1,0,0.0,0.0,79.3
Mega Kangaskhan ex,Blaziken ex,1,1,100.0,20.7,100.0
Blaziken ex,Mega Kangaskhan ex,1,0,0.0,0.0,79.3
Crustle,Bouffalant ex,1,1,100.0,20.7,100.0
Bouffalant ex,Crustle,1,0,0.0,0.0,79.3
Mega Heracross ex,Mega Kangaskhan ex,1,1,100.0,20.7,100.0
Mega Kangaskhan ex,Mega Heracross ex,1,0,0.0,0.0,79.3
Dragapult ex,Blaziken ex,1,1,100.0,20.7,100.0
Blaziken ex,Dragapult ex,1,0,0.0,0.0,79.3
Iron Thorns ex,Mega Manectric ex,1,0,0.0,0.0,79.3
Mega Manectric ex,Iron Thorns ex,1,1,100.0,20.7,100.0
Tapu Koko ex,XerneasEX,1,0,0.0,0.0,79.3
XerneasEX,Tapu Koko ex,1,1,100.0,20.7,100.0
Alakazam,Blaziken ex,1,1,100.0,20.7,100.0
Blaziken ex,Alakazam,1,0,0.0,0.0,79.3
Mega Heracross ex,Iron Thorns ex,1,1,100.0,20.7,100.0
Iron Thorns ex,Mega Heracross ex,1,0,0.0,0.0,79.3
Alakazam,Bouffalant ex,1,1,100.0,20.7,100.0
Bouffalant ex,Alakazam,1,0,0.0,0.0,79.3
XerneasEX,Alakazam,1,0,0.0,0.0,79.3
Alakazam,XerneasEX,1,1,100.0,20.7,100.0
Yveltal ex,Mega Lucario ex,1,0,0.0,0.0,79.3
Mega Lucario ex,Yveltal ex,1,1,100.0,20.7,100.0
XerneasEX,Dragapult ex,1,0,0.0,0.0,79.3
Dragapult ex,XerneasEX,1,1,100.0,20.7,100.0
Blaziken ex,Mega Abomasnow ex,1,0,0.0,0.0,79.3
Mega Abomasnow ex,Blaziken ex,1,1,100.0,20.7,100.0
XerneasEX,Raging Bolt ex,1,1,100.0,20.7,100.0
Raging Bolt ex,XerneasEX,1,0,0.0,0.0,79.3
Tapu Koko ex,Mega Lucario ex,1,0,0.0,0.0,79.3
Mega Lucario ex,Tapu Koko ex,1,1,100.0,20.7,100.0
Dusknoir,XerneasEX,1,0,0.0,0.0,79.3
XerneasEX,Dusknoir,1,1,100.0,20.7,100.0
Archaludon ex,Bouffalant ex,1,0,0.0,0.0,79.3
Bouffalant ex,Archaludon ex,1,1,100.0,20.7,100.0
Decidueye,Alakazam,1,0,0.0,0.0,79.3
Alakazam,Decidueye,1,1,100.0,20.7,100.0
Mega Mawile ex,Mega Camerupt ex,1,1,100.0,20.7,100.0
Mega Camerupt ex,Mega Mawile ex,1,0,0.0,0.0,79.3
Dragapult ex,Yveltal ex,1,0,0.0,0.0,79.3
Yveltal ex,Dragapult ex,1,1,100.0,20.7,100.0
Dragapult ex,Sinistcha ex,1,1,100.0,20.7,100.0
Sinistcha ex,Dragapult ex,1,0,0.0,0.0,79.3
Mega Manectric ex,Mega Abomasnow ex,1,1,100.0,20.7,100.0
Mega Abomasnow ex,Mega Manectric ex,1,0,0.0,0.0,79.3
Iron Thorns ex,Sinistcha ex,1,1,100.0,20.7,100.0
Sinistcha ex,Iron Thorns ex,1,0,0.0,0.0,79.3
Mega Lopunny ex,Team Rocket's Honchkrow,1,1,100.0,20.7,100.0
Team Rocket's Honchkrow,Mega Lopunny ex,1,0,0.0,0.0,79.3
Hydrapple ex,Iono’s Bellibolt ex,1,0,0.0,0.0,79.3
Iono’s Bellibolt ex,Hydrapple ex,1,1,100.0,20.7,100.0
Team Rocket's Spidops,Iono’s Bellibolt ex,1,0,0.0,0.0,79.3
Iono’s Bellibolt ex,Team Rocket's Spidops,1,1,100.0,20.7,100.0
Mega Kangaskhan ex,Blissey ex,1,0,0.0,0.0,79.3
Blissey ex,Mega Kangaskhan ex,1,1,100.0,20.7,100.0
Mega Lucario ex,Bloodmoon Ursaluna,1,0,0.0,0.0,79.3
Bloodmoon Ursaluna,Mega Lucario ex,1,1,100.0,20.7,100.0
Centiskorch,Sylveon,1,1,100.0,20.7,100.0
Sylveon,Centiskorch,1,0,0.0,0.0,79.3
Samurott,Ethan's Typhlosion,1,1,100.0,20.7,100.0
Ethan's Typhlosion,Samurott,1,0,0.0,0.0,79.3
Kingambit,Hydrapple ex,1,0,0.0,0.0,79.3
Hydrapple ex,Kingambit,1,1,100.0,20.7,100.0
Regirock ex,Crustle,1,0,0.0,0.0,79.3
Crustle,Regirock ex,1,1,100.0,20.7,100.0
Mega Lucario ex,Iron Leaves ex,1,1,100.0,20.7,100.0
Iron Leaves ex,Mega Lucario ex,1,0,0.0,0.0,79.3
Palafin ex,Mega Abomasnow ex,1,1,100.0,20.7,100.0
Mega Abomasnow ex,Palafin ex,1,0,0.0,0.0,79.3
Ethan's Typhlosion,Iron Thorns ex,1,0,0.0,0.0,79.3
Iron Thorns ex,Ethan's Typhlosion,1,1,100.0,20.7,100.0
Great Tusk,Teal Mask Ogerpon ex,1,1,100.0,20.7,100.0
Teal Mask Ogerpon ex,Great Tusk,1,0,0.0,0.0,79.3
Dragapult ex,Iron Leaves ex,1,1,100.0,20.7,100.0
Iron Leaves ex,Dragapult ex,1,0,0.0,0.0,79.3
Okidogi ex,Iono’s Bellibolt ex,1,0,0.0,0.0,79.3
Iono’s Bellibolt ex,Okidogi ex,1,1,100.0,20.7,100.0
Sylveon,Mega Abomasnow ex,1,0,0.0,0.0,79.3
Mega Abomasnow ex,Sylveon,1,1,100.0,20.7,100.0
Dusknoir,Ethan's Typhlosion,1,0,0.0,0.0,79.3
Ethan's Typhlosion,Dusknoir,1,1,100.0,20.7,100.0
Cinderace,Dragapult ex,1,1,100.0,20.7,100.0
Dragapult ex,Cinderace,1,0,0.0,0.0,79.3
Palafin ex,Mega Lucario ex,1,1,100.0,20.7,100.0
Mega Lucario ex,Palafin ex,1,0,0.0,0.0,79.3
Dragapult ex,Bloodmoon Ursaluna,1,1,100.0,20.7,100.0
Bloodmoon Ursaluna,Dragapult ex,1,0,0.0,0.0,79.3
Okidogi,Dudunsparce ex,1,1,100.0,20.7,100.0
Dudunsparce ex,Okidogi,1,0,0.0,0.0,79.3
Hydrapple ex,Team Rocket's Honchkrow,1,1,100.0,20.7,100.0
Team Rocket's Honchkrow,Hydrapple ex,1,0,0.0,0.0,79.3
Mega Heracross ex,Teal Mask Ogerpon ex,1,0,0.0,0.0,79.3
Teal Mask Ogerpon ex,Mega Heracross ex,1,1,100.0,20.7,100.0
Team Rocket's Spidops,Crustle,1,0,0.0,0.0,79.3
Crustle,Team Rocket's Spidops,1,1,100.0,20.7,100.0
Great Tusk,Hydrapple ex,1,1,100.0,20.7,100.0
Hydrapple ex,Great Tusk,1,0,0.0,0.0,79.3
Alakazam,Mega Mawile ex,1,1,100.0,20.7,100.0
Mega Mawile ex,Alakazam,1,0,0.0,0.0,79.3
Samurott,Crustle,1,1,100.0,20.7,100.0
Crustle,Samurott,1,0,0.0,0.0,79.3
Mega Kangaskhan ex,Great Tusk,1,0,0.0,0.0,79.3
Great Tusk,Mega Kangaskhan ex,1,1,100.0,20.7,100.0
Ethan's Typhlosion,Snorlax,1,1,100.0,20.7,100.0
Snorlax,Ethan's Typhlosion,1,0,0.0,0.0,79.3
Mega Lucario ex,Mega Scrafty ex,1,1,100.0,20.7,100.0
Mega Scrafty ex,Mega Lucario ex,1,0,0.0,0.0,79.3
Okidogi ex,Crustle,1,0,0.0,0.0,79.3
Crustle,Okidogi ex,1,1,100.0,20.7,100.0
Sawk,Mega Kangaskhan ex,1,0,0.0,0.0,79.3
Mega Kangaskhan ex,Sawk,1,1,100.0,20.7,100.0
Mega Froslass ex,Mega Lopunny ex,1,0,0.0,0.0,79.3
Mega Lopunny ex,Mega Froslass ex,1,1,100.0,20.7,100.0
Cinderace,Mega Mawile ex,1,1,100.0,20.7,100.0
Mega Mawile ex,Cinderace,1,0,0.0,0.0,79.3
Blissey ex,Alakazam,1,0,0.0,0.0,79.3
Alakazam,Blissey ex,1,1,100.0,20.7,100.0
Crustle,Gouging Fire ex,1,1,100.0,20.7,100.0
Gouging Fire ex,Crustle,1,0,0.0,0.0,79.3
Leafeon ex,Mega Lucario ex,1,0,0.0,0.0,79.3
Mega Lucario ex,Leafeon ex,1,1,100.0,20.7,100.0
Samurott,Alakazam,1,1,100.0,20.7,100.0
Alakazam,Samurott,1,0,0.0,0.0,79.3
N’s Zoroark ex,Mega Abomasnow ex,1,0,0.0,0.0,79.3
Mega Abomasnow ex,N’s Zoroark ex,1,1,100.0,20.7,100.0
Mega Abomasnow ex,Durant ex,1,1,100.0,20.7,100.0
Durant ex,Mega Abomasnow ex,1,0,0.0,0.0,79.3
Yanmega ex,Alakazam,1,0,0.0,0.0,79.3
Alakazam,Yanmega ex,1,1,100.0,20.7,100.0
Mega Abomasnow ex,Greninja ex,1,1,100.0,20.7,100.0
Greninja ex,Mega Abomasnow ex,1,0,0.0,0.0,79.3
Alakazam,Dusknoir,1,1,100.0,20.7,100.0
Dusknoir,Alakazam,1,0,0.0,0.0,79.3
Centiskorch,Dudunsparce ex,1,1,100.0,20.7,100.0
Dudunsparce ex,Centiskorch,1,0,0.0,0.0,79.3
Crustle,Volcanion,1,0,0.0,0.0,79.3
Volcanion,Crustle,1,1,100.0,20.7,100.0
Okidogi ex,Ethan's Typhlosion,1,0,0.0,0.0,79.3
Ethan's Typhlosion,Okidogi ex,1,1,100.0,20.7,100.0
Centiskorch,Mega Kangaskhan ex,1,0,0.0,0.0,79.3
Mega Kangaskhan ex,Centiskorch,1,1,100.0,20.7,100.0
Mega Mawile ex,Iono’s Bellibolt ex,1,0,0.0,0.0,79.3
Iono’s Bellibolt ex,Mega Mawile ex,1,1,100.0,20.7,100.0
Alakazam,Bloodmoon Ursaluna,1,1,100.0,20.7,100.0
Bloodmoon Ursaluna,Alakazam,1,0,0.0,0.0,79.3
Bloodmoon Ursaluna,Mega Abomasnow ex,1,0,0.0,0.0,79.3
Mega Abomasnow ex,Bloodmoon Ursaluna,1,1,100.0,20.7,100.0
Hydrapple ex,Centiskorch,1,0,0.0,0.0,79.3
Centiskorch,Hydrapple ex,1,1,100.0,20.7,100.0
Teal Mask Ogerpon ex,Ceruledge,1,0,0.0,0.0,79.3
Ceruledge,Teal Mask Ogerpon ex,1,1,100.0,20.7,100.0
Okidogi ex,Teal Mask Ogerpon ex,1,0,0.0,0.0,79.3
Teal Mask Ogerpon ex,Okidogi ex,1,1,100.0,20.7,100.0
Mega Zygarde ex,Mega Abomasnow ex,1,0,0.0,0.0,79.3
Mega Abomasnow ex,Mega Zygarde ex,1,1,100.0,20.7,100.0
Mega Lopunny ex,Dusknoir,1,1,100.0,20.7,100.0
Dusknoir,Mega Lopunny ex,1,0,0.0,0.0,79.3
Samurott,Mega Abomasnow ex,1,0,0.0,0.0,79.3
Mega Abomasnow ex,Samurott,1,1,100.0,20.7,100.0
Hop’s Zacian ex,Mega Abomasnow ex,1,1,100.0,20.7,100.0
Mega Abomasnow ex,Hop’s Zacian ex,1,0,0.0,0.0,79.3
Palafin ex,Mega Heracross ex,1,0,0.0,0.0,79.3
Mega Heracross ex,Palafin ex,1,1,100.0,20.7,100.0
Serperior ex,Mega Lucario ex,1,0,0.0,0.0,79.3
Mega Lucario ex,Serperior ex,1,1,100.0,20.7,100.0
Mega Lucario ex,Mega Absol ex,1,1,100.0,20.7,100.0
Mega Absol ex,Mega Lucario ex,1,0,0.0,0.0,79.3
Dragapult ex,Great Tusk,1,1,100.0,20.7,100.0
Great Tusk,Dragapult ex,1,0,0.0,0.0,79.3
Mega Lopunny ex,Dudunsparce ex,1,0,0.0,0.0,79.3
Dudunsparce ex,Mega Lopunny ex,1,1,100.0,20.7,100.0
Iron Leaves ex,Cynthia's Garchomp ex,1,0,0.0,0.0,79.3
Cynthia's Garchomp ex,Iron Leaves ex,1,1,100.0,20.7,100.0
Mega Abomasnow ex,Mega Absol ex,1,0,0.0,0.0,79.3
Mega Absol ex,Mega Abomasnow ex,1,1,100.0,20.7,100.0
Blissey ex,Dusknoir,1,1,100.0,20.7,100.0
Dusknoir,Blissey ex,1,0,0.0,0.0,79.3
Great Tusk,Mega Abomasnow ex,1,0,0.0,0.0,79.3
Mega Abomasnow ex,Great Tusk,1,1,100.0,20.7,100.0
Mega Kangaskhan ex,Galvantula ex,1,1,100.0,20.7,100.0
Galvantula ex,Mega Kangaskhan ex,1,0,0.0,0.0,79.3
XerneasEX,Crustle,1,0,0.0,0.0,79.3
Crustle,XerneasEX,1,1,100.0,20.7,100.0
Team Rocket's Honchkrow,Mega Gardevoir ex,1,1,100.0,20.7,100.0
Mega Gardevoir ex,Team Rocket's Honchkrow,1,0,0.0,0.0,79.3
Mega Abomasnow ex,Cinderace,1,0,0.0,0.0,79.3
Cinderace,Mega Abomasnow ex,1,1,100.0,20.7,100.0
Volcanion,Team Rocket's Honchkrow,1,0,0.0,0.0,79.3
Team Rocket's Honchkrow,Volcanion,1,1,100.0,20.7,100.0
Mega Mawile ex,Teal Mask Ogerpon ex,1,0,0.0,0.0,79.3
Teal Mask Ogerpon ex,Mega Mawile ex,1,1,100.0,20.7,100.0
Hydrapple ex,XerneasEX,1,1,100.0,20.7,100.0
XerneasEX,Hydrapple ex,1,0,0.0,0.0,79.3
Dusknoir,Crustle,1,0,0.0,0.0,79.3
Crustle,Dusknoir,1,1,100.0,20.7,100.0
Mega Abomasnow ex,Koraidon ex,1,1,100.0,20.7,100.0
Koraidon ex,Mega Abomasnow ex,1,0,0.0,0.0,79.3
Ceruledge,Alakazam,1,0,0.0,0.0,79.3
Alakazam,Ceruledge,1,1,100.0,20.7,100.0
Miraidon ex,Okidogi,1,0,0.0,0.0,79.3
Okidogi,Miraidon ex,1,1,100.0,20.7,100.0
Gouging Fire ex,Mega Lucario ex,1,0,0.0,0.0,79.3
Mega Lucario ex,Gouging Fire ex,1,1,100.0,20.7,100.0
Ceruledge,Mega Lucario ex,1,0,0.0,0.0,79.3
Mega Lucario ex,Ceruledge,1,1,100.0,20.7,100.0
Team Rocket's Honchkrow,Fezandipiti ex,1,0,0.0,0.0,79.3
Fezandipiti ex,Team Rocket's Honchkrow,1,1,100.0,20.7,100.0
Hop’s Snorlax,Centiskorch,1,1,100.0,20.7,100.0
Centiskorch,Hop’s Snorlax,1,0,0.0,0.0,79.3
Mega Gardevoir ex,Ethan's Typhlosion,1,0,0.0,0.0,79.3
Ethan's Typhlosion,Mega Gardevoir ex,1,1,100.0,20.7,100.0
Crustle,Barbaracle,1,0,0.0,0.0,79.3
Barbaracle,Crustle,1,1,100.0,20.7,100.0
Kyurem,Alakazam,1,0,0.0,0.0,79.3
Alakazam,Kyurem,1,1,100.0,20.7,100.0
Kyurem,Mega Lucario ex,1,1,100.0,20.7,100.0
Mega Lucario ex,Kyurem,1,0,0.0,0.0,79.3
Sinistcha ex,Hop’s Snorlax,1,0,0.0,0.0,79.3
Hop’s Snorlax,Sinistcha ex,1,1,100.0,20.7,100.0
Ethan's Typhlosion,Chandelure,1,0,0.0,0.0,79.3
Chandelure,Ethan's Typhlosion,1,1,100.0,20.7,100.0
Hydreigon ex,Seaking,1,0,0.0,0.0,79.3
Seaking,Hydreigon ex,1,1,100.0,20.7,100.0
Walrein,Pikachu ex,1,0,0.0,0.0,79.3
Pikachu ex,Walrein,1,1,100.0,20.7,100.0
Raging Bolt ex,Iono’s Bellibolt ex,1,0,0.0,0.0,79.3
Iono’s Bellibolt ex,Raging Bolt ex,1,1,100.0,20.7,100.0
Iono’s Bellibolt ex,Genesect ex,1,0,0.0,0.0,79.3
Genesect ex,Iono’s Bellibolt ex,1,1,100.0,20.7,100.0
Mega Kangaskhan ex,Pinsir,1,0,0.0,0.0,79.3
